Ad set name,Age,Gender,Day,Campaign name,Result Type,Results,Impressions,Cost per result,Amount spent (MYR),Adds to cart,Website adds to cart,Adds to cart conversion value,Website adds to cart conversion value,Purchase ROAS (return on ad spend),Website purchase ROAS (return on advertising spend),Purchases,Website purchases,Sales,Website purchases conversion value,Reach,Reporting starts,Reporting ends
,,,,,Website purchases,167,693462,53.35473054,8910.24,494,494,75556,75556,4.788429941,4.78842994,167,167,42666.06,42666.06,164428,1/1/2021,14/2/2021
KB Lookalike Audience  8%,45-54,female,14/2/2021,KB | Chinese New Year | Jan(13 - 26),,,1083,,18.87,,,,,,,,,,,816,14/2/2021,14/2/2021
KB Lookalike Audience  8%,35-44,unknown,14/2/2021,KB | Chinese New Year | Jan(13 - 26),,,243,,2.64,,,,,,,,,,,168,14/2/2021,14/2/2021
KB Lookalike Audience  8%,25-34,male,14/2/2021,KB | Chinese New Year | Jan(13 - 26),Website purchases,2,16512,49.41,98.82,9,9,1749.8,1749.8,7.338595426,7.33859543,2,2,725.2,725.2,12608,14/2/2021,14/2/2021
KB Lookalike Audience  8%,65+,unknown,14/2/2021,KB | Chinese New Year | Jan(13 - 26),,,1,,0,,,,,,,,,,,0,14/2/2021,14/2/2021
KB Lookalike Audience  8%,45-54,unknown,14/2/2021,KB | Chinese New Year | Jan(13 - 26),,,94,,1.69,,,,,,,,,,,56,14/2/2021,14/2/2021
KB Lookalike Audience  8%,65+,female,14/2/2021,KB | Chinese New Year | Jan(13 - 26),,,51,,1.22,,,,,,,,,,,40,14/2/2021,14/2/2021
KB Lookalike Audience  8%,65+,male,14/2/2021,KB | Chinese New Year | Jan(13 - 26),,,151,,0.84,,,,,,,,,,,151,14/2/2021,14/2/2021
KB Lookalike Audience  8%,55-64,unknown,14/2/2021,KB | Chinese New Year | Jan(13 - 26),,,24,,0.26,,,,,,,,,,,16,14/2/2021,14/2/2021
KB Lookalike Audience  8%,55-64,female,14/2/2021,KB | Chinese New Year | Jan(13 - 26),,,252,,4.78,,,,,,,,,,,136,14/2/2021,14/2/2021
KB Lookalike Audience  8%,35-44,male,14/2/2021,KB | Chinese New Year | Jan(13 - 26),Website purchases,1,8067,86.4,86.4,3,3,1078,1078,11.31944444,11.31944444,1,1,978,978,5752,14/2/2021,14/2/2021
KB Lookalike Audience  8%,25-34,unknown,14/2/2021,KB | Chinese New Year | Jan(13 - 26),,,144,,2.01,,,,,,,,,,,128,14/2/2021,14/2/2021
